대분류,중분류,소분류,26년1월,26년2월,26년3월,26년4월,26년5월,26년6월,26년7월,26년8월,26년9월,26년10월,26년11월,26년12월
TAG매출,홍콩,리테일,704.81,579,831.3360102,942.1808116,"1,053","1,053","1,053",942.1808116,886.7584109,942.1808116,"1,441","2,439"
TAG매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,홍콩,온라인,84.67,28.1,55.55555556,77.77777778,77.77777778,88.88888889,88.88888889,88.88888889,66.66666667,111.1111111,333.3333333,333.3333333
TAG매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,리테일,"2,827","1,588","1,111","1,105","1,816","1,796","1,560","1,551","1,487","3,132","3,781","3,695"
TAG매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,온라인,"1,877",854.4557646,661.5617386,667.647933,659.559881,684.3479979,672.9766369,679.5067725,678.0091719,885.99829,"1,458","1,477"
실판매출,홍콩,리테일,620.011,480,750,850,950,950,950,850,800,850,"1,300","2,200"
실판매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,온라인,74.189,22.9243,50,70,70,80,80,80,60,100,300,300
실판매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,리테일,"2,267","1,267",952.3809524,928.5714286,"1,524","1,500","1,310","1,310","1,262","2,619","3,143","3,143"
실판매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,온라인,"1,440",627.4391763,547.6190476,547.6190476,547.6190476,547.6190476,547.6190476,547.6190476,547.6190476,714.2857143,"1,143","1,262"
매출원가,매출원가합계,,"1,874","1,033",888.2823017,929.7827178,"1,207","1,212","1,127","1,091","1,044","1,715","2,361","2,649"
Tag대비 원가율,Tag대비 원가율합계,,34.11%,33.00%,33.40%,33.29%,33.47%,33.46%,33.38%,33.46%,33.49%,33.81%,33.67%,33.35%
매출총이익,매출총이익합계,,"2,528","1,365","1,412","1,466","1,884","1,866","1,761","1,696","1,625","2,569","3,525","4,256"
오프라인 직접비,매장급여,,278.2565795,276.9724991,278.0819582,274.9845628,344.7567261,324.4666229,334.2445959,328.0777304,329.211202,424.0376339,427.7561821,572.6286112
오프라인 직접비,매장관리비,,113.9835334,128.9101916,116.8265015,111.3038297,131.0310119,124.4351721,144.697935,128.1435085,135.1500465,159.3230554,134.2978329,134.2144808
오프라인 직접비,매장광고비,,26.82730962,25.16025879,11.02860213,44.55669125,32.83874532,31.49490587,26.37543182,27.2859691,11.09148531,92.43946359,36.13066243,28.24244928
오프라인 직접비,물류비(Tag대비),,90.337329,77.49327511,88.57231577,111.9965658,129.6312568,108.480455,111.8058823,107.9792368,134.6946959,164.6766695,206.9665146,180.5415895
오프라인 직접비,지급수수료,,53.43367993,35.58224816,27.31968169,30.83453529,58.3364684,60.57068772,46.37454304,50.28238159,38.7877102,70.0956353,86.64698561,110.0092264
오프라인 직접비,매장임차료,,784.2754659,547.262994,472.1838284,467.4313259,596.5171826,591.7667672,548.6801079,562.1186362,552.6499286,814.1993306,924.4349966,"1,004"
오프라인 직접비,매장감가상각비,,256.3834103,256.6560944,252.6669281,255.5794235,315.0603628,316.1062878,315.0948959,313.9888213,313.8895853,369.9569476,369.2607664,365.408955
오프라인 직접비,매장기타,,93.71868669,90.99587039,59.31547088,63.9271464,75.81734186,134.6032971,126.4415391,84.08725194,81.1948998,146.8897121,133.5445662,67.26628211
온라인 직접비,지급수수료,,123.6500909,158.4506835,65.6291912,69.27017164,67.90417107,73.22222444,72.5902202,70.96821821,69.08281505,87.42879585,154.1061783,163.5811476
온라인 직접비,매장광고비,,81.48433415,86.64645833,67.56130903,71.10886208,69.66734625,75.36299687,79.09115541,70.34434629,68.5237482,93.42436996,121.3742032,128.6464218
온라인 직접비,매장관리비,,16.39194085,35.64649647,12.39066379,12.36325229,12.36325229,12.36325229,12.36325229,12.36325229,12.36325229,16.22933638,27.82758867,33.23358976
온라인 직접비,물류비(Tag대비),,46.74382663,52.86989503,40.56943565,41.16943565,41.16943565,41.46943565,41.46943565,41.46943565,40.86943565,54.43287364,94.5545051,102.7642166
온라인 직접비,매장기타,,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667
영업비,급여,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,광고비,,51.9187,60.9,55.47365983,55.47365983,55.47365983,55.47365983,55.47365983,55.47365983,55.47365983,55.47365983,55.47365983,55.47365983
영업비,여비교통비,,6.67,1.6,10.0975,10.0975,10.0975,10.0975,10.0975,10.0975,10.0975,10.0975,10.0975,10.0975
영업비,지급수수료 일반,,0.14,0,31.27228908,31.27228908,31.27228908,31.27228908,31.27228908,31.27228908,31.27228908,31.27228908,31.27228908,31.27228908
영업비,임차료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,감가상각비,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,보험료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,기타,,0,0,0,0,0,0,0,0,0,0,0,0
직접비+영업비,직접비+영업비 계,,"2,026","1,837","1,591","1,653","1,974","1,993","1,958","1,896","1,886","2,592","2,815","2,989"
영업이익,영업이익 계,,502.356029,-472.2545084,-178.9383069,-186.6281628,-89.19193574,-127.3261922,-197.1105228,-199.8551899,-260.8482081,-23.10558038,709.5447638,"1,267"
