대분류,중분류,소분류,26년1월,26년2월,26년3월,26년4월,26년5월,26년6월,26년7월,26년8월,26년9월,26년10월,26년11월,26년12월
TAG매출,홍콩,리테일,704.81,578.8,293.32,229.63,1053.025613,1053.025613,1053.025613,942.180812,886.758411,942.180812,1440.982418,2438.58563
TAG매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,홍콩,온라인,84.67,28.1,33.46,20.98,77.777778,88.888889,88.888889,88.888889,66.666667,111.111111,333.333333,333.333333
TAG매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,온라인,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,리테일,620.011,479.924,255.139,206.289,950,950,950,850,800,850,1300,2200
실판매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,온라인,74.189,22.9243,28.9126,19.415,70,80,80,80,60,100,300,300
실판매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,온라인,0,0,0,0,0,0,0,0,0,0,0,0
매출원가,매출원가합계,,250.714951,189.963951,105.623292,79.632958,352.810658,356.277325,356.277325,321.693747,297.468624,328.62708,553.586514,864.838717
Tag대비 원가율,Tag대비 원가율합계,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
매출총이익,매출총이익합계,,443.485049,312.884349,178.428308,146.071042,667.189342,673.722675,673.722675,608.306253,562.531376,621.37292,1046.413486,1635.161283
오프라인 직접비,매장급여,,135.07628,133.93192,152.5638,124.01263,153.405,153.405,153.405,153.405,153.405,153.405,153.405,265.905
오프라인 직접비,매장관리비,,93.27112,95.46062,99.58806,91.51095,95.24814,89.5371,101.57802,97.11222,97.85958,97.13964,99.21064,98.19712
오프라인 직접비,매장광고비,,1.969,0,0,-2.573,3.366,3.366,3.366,3.72032,3.72032,3.72032,3.72032,3.72032
오프라인 직접비,물류비(Tag대비),,56.19007,53.13493,78.94255,71.37631,43.733,43.225,43.758,39.44,35.37,39.203,60.273,104.634
오프라인 직접비,지급수수료,,12.1675,8.45476,5.34703,3.77231,19,19,19,17,16,17,26,44
오프라인 직접비,매장임차료,,250.84,250.84,250.84,250.67333,250.84,250.84,251.78419,265.475,265.475,265.475,265.475,346.68
오프라인 직접비,매장감가상각비,,84.50295,84.50295,84.50295,84.50295,84.50295,84.50295,84.50295,84.50295,84.50295,84.50295,84.50295,84.50295
오프라인 직접비,매장기타,,4.75111,1.75711,1.20711,2.74961,2.80465,2.80465,2.80465,9.646755,2.80565,2.8535,2.8535,2.8535
온라인 직접비,지급수수료,,11.47412,10.22334,10.41832,10.0328,11.6,11.9,11.9,11.9,11.3,12.5,18.5,18.5
온라인 직접비,매장광고비,,0.0803,0.0316,0.0319,0.0306,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
온라인 직접비,매장관리비,,8.74685,6.18117,6.48556,6.43695,8.3459,8.8459,8.8459,8.8459,7.8459,9.8459,19.8459,19.8459
온라인 직접비,물류비(Tag대비),,3.023,1.2916,1.841,1.373,2.1,2.4,2.4,2.4,1.8,3,9,9
온라인 직접비,매장기타,,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667,1.66667
영업비,급여,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,광고비,,24.1987,26.5,42.68,32.96182,0,0,0,0,0,0,0,0
영업비,여비교통비,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,지급수수료 일반,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,임차료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,감가상각비,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,보험료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,기타,,0,0,0,0,0,0,0,0,0,0,0,0
직접비+영업비,직접비+영업비 계,,687.95767,673.97667,736.11495,678.52693,677.11231,671.99327,685.51138,695.614815,682.25107,690.81198,744.95298,1000.00546
영업이익,영업이익 계,,-244.472621,-361.092321,-557.686642,-532.455888,-9.922968,1.729405,-11.788705,-87.308562,-119.719694,-69.43906,301.460506,635.155823
