대분류,중분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
매출채권,대만 백화점 AR,"27,957","28,217","17,249","12,635","18,561","21,507","20,223","20,316","20,671","26,049","35,097","40,792"
재고자산,재고자산,"172,173","163,440","156,632","146,435","135,513","142,820","152,518","153,338","151,215","139,711","127,588","111,747"
매입채무,본사 AP(물품대),"-136,589","-122,322","-121,971","-113,994","-104,766","-113,694","-127,369","-128,367","-132,390","-123,815","-120,468","-103,522"
