대분류,중분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
매출채권,대만 백화점 AR,"27,957","28,217","21,711","17,527","23,002","23,236","22,265","21,972","21,558","26,491","37,277","42,993"
재고자산,재고자산,"172,173","163,440","161,754","154,030","132,956","131,300","138,710","142,768","138,710","128,237","116,293","101,320"
매입채무,본사 AP(물품대),"-136,589","-122,322","-128,430","-116,286","-106,274","-103,782","-113,928","-118,936","-118,881","-110,307","-106,959","-90,014"
