대분류,중분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
매출채권,직영AR,,,,,,,,,,,,"44,149,795"
매출채권,대리상AR,,,,,,,,,,,,"360,502,485"
재고자산,재고자산,,,,,,,,,,,,"844,857,704"
매입채무,본사 AP,,,,,,,,,,,,"447,881,500"
매입채무,제품 AP,,,,,,,,,,,,"39,600,598"
