대분류,중분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
매출채권,대만 백화점 AR,"30,096","21,453","13,076","13,013","18,744","19,235","16,881","18,691","15,938","17,692","27,160","26,238"
재고자산,재고자산,"178,752","184,184","177,971","173,421","169,834","169,331","171,694","185,675","189,650","184,348","175,798","169,134"
매입채무,본사 AP(물품대),"-126,556","-127,214","-123,225","-116,763","-109,340","-115,046","-117,744","-136,878","-146,808","-146,796","-141,595","-127,782"
