대분류,중분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
매출채권,대만 백화점 AR,"30,095,544","21,452,836","13,075,824","13,012,684","18,743,992","19,235,403","16,880,986","18,690,903","15,937,588","17,691,514","27,160,064","26,238,335"
재고자산,재고자산,"178,752,186","184,183,818","177,971,333","173,420,797","169,833,655","169,330,519","171,693,858","185,674,782","189,650,159","184,347,877","175,797,848","169,133,866"
매입채무,본사 AP(물품대),"-126,556,297","-127,213,525","-123,225,462","-116,763,000","-109,339,790","-115,045,614","-117,743,606","-136,878,024","-146,808,040","-146,796,469","-141,594,721","-127,782,364"
